10, 0.000005
20, 0.000008
30, 0.000023
40, 0.000049
50, 0.000099
60, 0.000205
70, 0.000316
80, 0.000477
90, 0.000683
100, 0.000895
110, 0.001324
120, 0.001556
130, 0.002224
140, 0.002624
150, 0.003184
160, 0.004170
170, 0.005205
180, 0.006150
190, 0.007178
200, 0.006240
210, 0.009661
220, 0.010983
230, 0.012538
240, 0.013186
250, 0.012822
260, 0.017530
270, 0.019812
280, 0.022088
290, 0.022779
300, 0.025141
310, 0.028436
320, 0.026161
330, 0.022513
340, 0.024257
350, 0.027371
360, 0.029442
370, 0.031958
380, 0.034707
390, 0.039002
400, 0.040207
410, 0.045599
420, 0.045469
430, 0.047963
440, 0.050730
450, 0.056602
460, 0.059478
470, 0.064193
480, 0.068076
490, 0.073056
500, 0.077765
510, 0.082609
520, 0.083088
530, 0.089177
540, 0.097461
550, 0.102199
560, 0.106845
570, 0.113998
580, 0.124109
590, 0.127768
600, 0.125825
610, 0.166997
620, 0.216510
630, 0.170651
640, 0.154523
650, 0.162224
660, 0.169520
670, 0.176462
680, 0.187831
690, 0.192770
700, 0.201392
710, 0.210369
720, 0.223816
730, 0.228482
740, 0.236219
750, 0.250068
760, 0.255913
770, 0.264092
780, 0.428134
790, 0.296070
800, 0.307829
810, 0.308298
820, 0.316141
830, 0.320125
840, 0.331348
850, 0.345813
860, 0.365749
870, 0.385108
880, 0.391986
890, 0.404540
900, 0.418808
910, 0.444017
920, 0.447691
930, 0.451946
940, 0.468415
950, 0.484711
960, 0.506322
970, 0.524009
980, 0.543695
990, 0.556386
1000, 0.724073
